         8472894 function calls (8457698 primitive calls) in 465.529 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
    58777    0.066    0.000    0.135    0.000 _collections_abc.py:657(get)
     4199    0.004    0.000    0.008    0.000 _collections_abc.py:664(__contains__)
     4198    0.006    0.000    0.009    0.000 _collections_abc.py:676(items)
     4198    0.003    0.000    0.003    0.000 _collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
    12594    0.015    0.000    0.029    0.000 _collections_abc.py:742(__iter__)
    20991    0.093    0.000    0.221    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
    12594    0.008    0.000    0.012    0.000 _internal_utils.py:14(to_native_string)
     4198    0.005    0.000    0.009    0.000 _internal_utils.py:30(unicode_is_ascii)
        1    0.000    0.000    0.019    0.019 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
    71489    0.045    0.000    0.094    0.000 _policybase.py:281(_sanitize_header)
    29427    0.039    0.000    0.073    0.000 _policybase.py:293(header_source_parse)
    71489    0.024    0.000    0.118    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.018    0.018 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       40    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       40    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       40    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       86    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       40    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       49    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
    71438    0.058    0.000    0.058    0.000 _weakrefset.py:70(__contains__)
       46    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       24    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       24    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:151(register)
    46179    0.078    0.000    0.136    0.000 abc.py:178(__instancecheck__)
    42/11    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       51    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        2    0.000    0.000    0.000    0.000 adapters.py:110(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:144(init_poolmanager)
     4198    0.008    0.000    0.010    0.000 adapters.py:201(cert_verify)
     4198    0.039    0.000    1.506    0.000 adapters.py:253(build_response)
     4198    0.021    0.000    0.371    0.000 adapters.py:290(get_connection)
     4198    0.012    0.000    0.115    0.000 adapters.py:323(request_url)
     4198    0.000    0.000    0.000    0.000 adapters.py:352(add_headers)
     4198    0.059    0.000  249.668    0.059 adapters.py:388(send)
        1    0.000    0.000    0.000    0.000 adapters.py:52(BaseAdapter)
        2    0.000    0.000    0.000    0.000 adapters.py:55(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:81(HTTPAdapter)
        1    0.000    0.000    0.001    0.001 adapters.py:9(<module>)
        1    0.000    0.000    0.002    0.002 api.py:11(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:229(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:266(NodeTransformer)
        1    0.000    0.000    0.000    0.000 auth.py:100(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
     4198    0.019    0.000    0.051    0.000 auth.py:28(_basic_auth_str)
        1    0.000    0.000    0.000    0.000 auth.py:72(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:79(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
     4198    0.003    0.000    0.003    0.000 auth.py:82(__init__)
     4198    0.008    0.000    0.063    0.000 auth.py:95(__call__)
        1    0.000    0.000    0.002    0.002 backend.py:19(__init__)
        1    0.000    0.000    0.000    0.000 backend.py:2(<module>)
        2    0.000    0.000    0.000    0.000 backend.py:271(_store)
        6    0.000    0.000    0.002    0.000 backend.py:79(load_backend)
        1    0.000    0.000    0.000    0.000 backend.py:8(JSONBackend)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
     4198    0.007    0.000    0.015    0.000 base64.py:51(b64encode)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 big5freq.py:43(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:34(Big5Prober)
       10    0.000    0.000    0.000    0.000 big5prober.py:35(__init__)
       20    0.000    0.000    0.000    0.000 big5prober.py:41(charset_name)
       20    0.000    0.000    0.000    0.000 big5prober.py:45(language)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:32(BZ2File)
        1    0.000    0.000    0.008    0.008 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:129(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:135(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:141(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:260(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:377(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:489(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:532(LocaleHTMLCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
     8396    0.025    0.000    0.028    0.000 calendar.py:598(timegm)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.002    0.002 certs.py:14(<module>)
        1    0.000    0.000    0.004    0.004 cgi.py:16(<module>)
     8396    0.011    0.000    0.015    0.000 cgi.py:301(_parseparam)
     4198    0.008    0.000    0.023    0.000 cgi.py:313(parse_header)
        1    0.000    0.000    0.000    0.000 cgi.py:337(MiniFieldStorage)
        1    0.000    0.000    0.000    0.000 cgi.py:362(FieldStorage)
        1    0.000    0.000    0.000    0.000 chardistribution.py:113(EUCTWDistributionAnalysis)
       10    0.000    0.000    0.000    0.000 chardistribution.py:114(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:132(EUCKRDistributionAnalysis)
       20    0.000    0.000    0.000    0.000 chardistribution.py:133(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:151(GB2312DistributionAnalysis)
       10    0.000    0.000    0.000    0.000 chardistribution.py:152(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:170(Big5DistributionAnalysis)
       10    0.000    0.000    0.000    0.000 chardistribution.py:171(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:192(SJISDistributionAnalysis)
       10    0.000    0.000    0.000    0.000 chardistribution.py:193(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:217(EUCJPDistributionAnalysis)
       10    0.000    0.000    0.000    0.000 chardistribution.py:218(__init__)
        1    0.000    0.000    0.004    0.004 chardistribution.py:28(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:40(CharDistributionAnalysis)
       70    0.000    0.000    0.000    0.000 chardistribution.py:46(__init__)
      210    0.000    0.000    0.000    0.000 chardistribution.py:61(reset)
      140    0.000    0.000    0.000    0.000 chardistribution.py:84(get_confidence)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
